count,true_species,predicted_species
6,Azanus ubaldus,Azanus uranus
5,Tarucus indica,Tarucus nara
5,Neptis radha,Neptis sankara
5,Cigaritis elwesi,Cigaritis abnormis
4,Taraka hamada,Tapena thwaitesi
4,Papilio daksha,Papilio buddha
4,Papilio buddha,Papilio daksha
4,Mycalesis perseus,Mycalesis igilia
4,Euploea sylvester,Euploea radamanthus
3,Ypthima hannyngtoni,Ypthima huebneri
3,Ypthima burmana,Virachola isocrates
3,Thoressa sitala,Ticherra acte
3,Saletara liberia,Sarangesa purendra
3,Rapala varuna,Remelana jangala
3,Pedesta panda,Pedesta masuriensis
3,Pedesta panda,Borbo cinnara
3,Paroeneis pumilus,Pedesta panda
3,Papilio mayo,Papilio agenor
3,Mycalesis visala,Mycalesis radza
3,Mycalesis igilia,Mycalesis perseus
