count,true_species,predicted_species
5,Thoressa sitala,Tirumala limniace
4,Taraka hamada,Tapena thwaitesi
4,Paroeneis pumilus,Pedesta panda
4,Parantica pedonga,Parantica nilgiriensis
4,Papilio daksha,Papilio buddha
4,Papilio buddha,Papilio daksha
4,Ctenoptilum vasava,Creteus cyrina
4,Cigaritis elwesi,Cigaritis abnormis
4,Borbo bevani,Borbo cinnara
4,Athyma opalina,Athyma orientalis
3,Ypthima huebneri,Ypthima hannyngtoni
3,Vanessa indica,Ypthima burmana
3,Thoressa evershedi,Thoressa cerata
3,Tapena thwaitesi,Tarucus ananda
3,Tapena thwaitesi,Taraka hamada
3,Saletara liberia,Sarangesa purendra
3,Pedesta panda,Pedesta masuriensis
3,Mycalesis visala,Mycalesis radza
3,Mycalesis junonia,Mycalesis igilia
3,Kirinia eversmanni,Esakiozephyrus icana
