count,true_species,predicted_species
6,Papilio daksha,Papilio buddha
5,Mycalesis visala,Mycalesis radza
4,Tapena thwaitesi,Taraka hamada
4,Rapala varuna,Remelana jangala
4,Papilio buddha,Papilio daksha
4,Euaspa milionia,Euploea midamus
4,Ctenoptilum vasava,Creteus cyrina
3,Thoressa evershedi,Thoressa cerata
3,Tagiades menaka,Tagiades cohaerens
3,Saletara liberia,Sarangesa purendra
3,Pedesta panda,Borbo cinnara
3,Paroeneis pumilus,Pedesta panda
3,Mycalesis junonia,Mycalesis igilia
3,Heliophorus bakeri,Hebomoia roepstorfii
3,Euploea radamanthus,Euploea sylvester
3,Cigaritis elwesi,Cigaritis abnormis
3,Catochrysops panormus,Catochrysops strabo
3,Ancistroides nigrita,Kallima albofasciata
2,Zeltus amasa,Pseudocoladenia dan
2,Ypthima kasmira,Ypthima indecora
