count,true_species,predicted_species
5,Tarucus indica,Tarucus nara
5,Rapala varuna,Remelana jangala
5,Quedara basiflava,Ragadia crisilda
5,Cigaritis elwesi,Cigaritis abnormis
5,Catochrysops panormus,Catochrysops strabo
5,Borbo cinnara,Borbo bevani
4,Tapena thwaitesi,Taraka hamada
4,Papilio daksha,Papilio buddha
4,Appias olferna,Appias libythea
3,Thoressa sitala,Tirumala limniace
3,Taraka hamada,Tapena thwaitesi
3,Saletara liberia,Sarangesa purendra
3,Prioneris sita,Pratapa icetas
3,Pedesta panda,Paroeneis pumilus
3,Paroeneis pumilus,Pedesta panda
3,Papilio buddha,Papilio daksha
3,Papilio arcturus,Papilio bianor
3,Odontoptilum angulata,Odina decoratus
3,Mycalesis radza,Mycalesis visala
3,Heliophorus bakeri,Heliophorus indicus
