count,true_species,predicted_species
7,Symbrenthia brabira,Symbrenthia lilaea
7,Eurema blanda,Eurema hecabe
6,Seseria dohertyi,Sephisa chandra
6,Eurema andersonii,Eurema hecabe
5,Tarucus indica,Tarucus ananda
5,Rhinopalpa polynice,Rohana parvata
5,Pieris brassicae,Pieris canidia
5,Papilio castor,Papilio chaon
5,Libythea myrrha,Libythea lepita
5,Lachides parrhasius,Luthrodes pandava
5,Heliophorus epicles,Heliophorus kohimensis
5,Curetis bulis,Curetis siva
5,Cirrochroa thais,Cirrochroa aoris
5,Cigaritis ictis,Cigaritis elima
5,Cethosia cyane,Cethosia mahratta
5,Azanus ubaldus,Azanus uranus
5,Appias indra,Appias lalage
5,Abisara bifasciata,Abisara echerius
4,Zizeeria karsandra,Freyeria putli
4,Tirumala limniace,Euploea andamanensis
