count,true_species,predicted_species
8,Tapena thwaitesi,Taraka hamada
5,Esakiozephyrus icana,Kirinia eversmanni
5,Azanus uranus,Azanus ubaldus
4,Ctenoptilum vasava,Creteus cyrina
3,Ypthima indecora,Ypthima kasmira
3,Ypthima burmana,Virachola isocrates
3,Tongeia pseudozuthus,Celastrina lavendularis
3,Thoressa sitala,Tirumala limniace
3,Tarucus indica,Tarucus nara
3,Taraka hamada,Tapena thwaitesi
3,Saletara liberia,Sarangesa purendra
3,Paroeneis pumilus,Pedesta panda
3,Papilio mayo,Papilio agenor
3,Papilio daksha,Papilio buddha
3,Papilio buddha,Papilio daksha
3,Odina decoratus,Odontoptilum angulata
3,Neptis sankara,Neptis radha
3,Mycalesis radza,Mycalesis visala
3,Isma bonota,Issoria gemmata
3,Euploea mulciber,Euploea sylvester
