epoch,train_loss,val_loss,train_acc,val_acc,val_f1,val_precision,lr
0,6.8470,6.7494,0.0060,0.0058,0.0028,0.0051,0.000040
1,6.3040,6.1008,0.0867,0.0832,0.0549,0.0609,0.000060
2,5.1087,4.8716,0.2807,0.2382,0.1730,0.2177,0.000080
3,3.6692,3.6448,0.4761,0.4085,0.3271,0.3736,0.000100
4,2.7022,2.8641,0.6378,0.5455,0.4583,0.4972,0.000100
5,2.2214,2.5065,0.7371,0.6326,0.5654,0.6029,0.000100
6,1.9613,2.2903,0.7965,0.6801,0.6237,0.6475,0.000099
7,1.8041,2.1735,0.8348,0.7032,0.6471,0.6694,0.000098
8,1.6994,2.0624,0.8618,0.7325,0.6792,0.7000,0.000097
9,1.6247,1.9808,0.8812,0.7685,0.7182,0.7364,0.000095
10,1.5593,1.9293,0.8960,0.7779,0.7360,0.7536,0.000093
11,1.5177,1.8768,0.9069,0.7860,0.7421,0.7574,0.000090
12,1.4640,1.8384,0.9204,0.8003,0.7595,0.7723,0.000088
13,1.4405,1.8114,0.9273,0.7969,0.7604,0.7761,0.000085
14,1.4041,1.7977,0.9355,0.8072,0.7721,0.7856,0.000081
15,1.3783,1.7571,0.9426,0.8151,0.7729,0.7857,0.000078
16,1.3565,1.7298,0.9463,0.8309,0.7918,0.8074,0.000074
17,1.3392,1.7243,0.9506,0.8258,0.7839,0.7974,0.000070
18,1.3220,1.7081,0.9565,0.8331,0.7943,0.8063,0.000065
19,1.3061,1.6982,0.9586,0.8316,0.7938,0.8079,0.000061
20,1.2990,1.6777,0.9586,0.8425,0.8070,0.8177,0.000057
21,1.2824,1.6735,0.9646,0.8386,0.8048,0.8157,0.000052
22,1.2702,1.6750,0.9671,0.8468,0.8099,0.8224,0.000048
23,1.2602,1.6610,0.9689,0.8468,0.8096,0.8174,0.000043
24,1.2532,1.6524,0.9701,0.8476,0.8146,0.8259,0.000039
25,1.2457,1.6383,0.9727,0.8481,0.8091,0.8215,0.000035
26,1.2377,1.6393,0.9752,0.8508,0.8121,0.8254,0.000030
27,1.2294,1.6255,0.9762,0.8568,0.8187,0.8286,0.000026
28,1.2246,1.6278,0.9781,0.8575,0.8171,0.8277,0.000022
29,1.2195,1.6232,0.9796,0.8594,0.8250,0.8362,0.000019
30,1.2142,1.6221,0.9800,0.8558,0.8173,0.8280,0.000015
31,1.2098,1.6139,0.9813,0.8603,0.8200,0.8313,0.000012
32,1.2064,1.6105,0.9818,0.8611,0.8245,0.8363,0.000010
33,1.2080,1.6117,0.9816,0.8607,0.8224,0.8331,0.000007
34,1.2022,1.6083,0.9845,0.8633,0.8236,0.8329,0.000005
35,1.2043,1.6041,0.9819,0.8643,0.8237,0.8332,0.000003
36,1.2013,1.6036,0.9837,0.8628,0.8247,0.8352,0.000002
37,1.2025,1.6025,0.9831,0.8630,0.8269,0.8360,0.000001
38,1.2012,1.6052,0.9823,0.8630,0.8238,0.8321,0.000000
39,1.1997,1.6031,0.9831,0.8641,0.8293,0.8375,0.000000
