epoch,train_loss,val_loss,train_acc,val_acc,val_f1,val_precision,lr
0,6.8076,6.5437,0.0116,0.0203,0.0088,0.0117,0.000040
1,5.9209,5.7118,0.1097,0.0929,0.0565,0.0779,0.000060
2,4.7332,4.6739,0.3008,0.2253,0.1712,0.2236,0.000080
3,3.5309,3.6319,0.4928,0.4072,0.3285,0.3771,0.000100
4,2.6651,2.9610,0.6398,0.5177,0.4343,0.4734,0.000100
5,2.1514,2.5490,0.7432,0.6030,0.5364,0.5667,0.000100
6,1.8935,2.2938,0.8017,0.6612,0.5946,0.6335,0.000099
7,1.7598,2.1902,0.8353,0.6901,0.6282,0.6633,0.000098
8,1.6406,2.0887,0.8683,0.7162,0.6672,0.6981,0.000097
9,1.5674,2.0029,0.8872,0.7383,0.6913,0.7153,0.000095
10,1.5188,1.9572,0.9014,0.7492,0.6967,0.7232,0.000093
11,1.4650,1.9077,0.9170,0.7571,0.7140,0.7391,0.000090
12,1.4312,1.8627,0.9260,0.7785,0.7239,0.7435,0.000088
13,1.4019,1.8235,0.9350,0.7929,0.7420,0.7645,0.000085
14,1.3784,1.8110,0.9405,0.7971,0.7432,0.7616,0.000081
15,1.3611,1.7939,0.9447,0.7944,0.7523,0.7703,0.000078
16,1.3412,1.7849,0.9501,0.8134,0.7657,0.7807,0.000074
17,1.3250,1.7480,0.9552,0.8104,0.7700,0.7864,0.000070
18,1.3046,1.7326,0.9593,0.8224,0.7747,0.7914,0.000065
19,1.2931,1.7206,0.9619,0.8207,0.7807,0.7967,0.000061
20,1.2795,1.7045,0.9661,0.8299,0.7889,0.8041,0.000057
21,1.2695,1.6866,0.9687,0.8386,0.8007,0.8178,0.000052
22,1.2565,1.6925,0.9712,0.8352,0.7945,0.8111,0.000048
23,1.2459,1.6728,0.9750,0.8404,0.7930,0.8074,0.000043
24,1.2412,1.6461,0.9751,0.8491,0.8153,0.8307,0.000039
25,1.2300,1.6592,0.9779,0.8472,0.7957,0.8094,0.000035
26,1.2230,1.6462,0.9794,0.8530,0.8104,0.8249,0.000030
27,1.2158,1.6258,0.9808,0.8564,0.8140,0.8276,0.000026
28,1.2053,1.6124,0.9839,0.8568,0.8157,0.8308,0.000022
29,1.2031,1.6215,0.9843,0.8536,0.8057,0.8188,0.000019
30,1.1977,1.6084,0.9850,0.8609,0.8217,0.8356,0.000015
31,1.1958,1.6022,0.9847,0.8650,0.8284,0.8427,0.000012
32,1.1921,1.5961,0.9855,0.8641,0.8212,0.8340,0.000010
33,1.1885,1.5927,0.9871,0.8650,0.8225,0.8351,0.000007
34,1.1862,1.5953,0.9871,0.8669,0.8270,0.8432,0.000005
35,1.1854,1.5914,0.9874,0.8669,0.8211,0.8335,0.000003
36,1.1821,1.5896,0.9878,0.8688,0.8236,0.8406,0.000002
37,1.1834,1.5862,0.9878,0.8686,0.8256,0.8383,0.000001
38,1.1803,1.5853,0.9893,0.8692,0.8262,0.8420,0.000000
39,1.1832,1.5873,0.9882,0.8701,0.8311,0.8447,0.000000
