epoch,train_loss,val_loss,train_acc,val_acc,val_f1,val_precision,lr
0,6.7747,6.4821,0.0141,0.0272,0.0125,0.0154,0.000040
1,5.9179,5.6410,0.1101,0.1034,0.0702,0.0965,0.000060
2,4.7798,4.5976,0.2936,0.2626,0.1895,0.2276,0.000080
3,3.6095,3.6075,0.4831,0.4047,0.3418,0.3859,0.000100
4,2.7276,2.8010,0.6297,0.5598,0.5028,0.5488,0.000100
5,2.2039,2.4067,0.7298,0.6508,0.5988,0.6295,0.000100
6,1.9093,2.2093,0.7967,0.6826,0.6507,0.6792,0.000099
7,1.7389,2.0452,0.8393,0.7242,0.6825,0.7138,0.000098
8,1.6375,1.9294,0.8668,0.7580,0.7213,0.7478,0.000097
9,1.5633,1.8705,0.8888,0.7764,0.7447,0.7674,0.000095
10,1.5159,1.8253,0.8985,0.7875,0.7592,0.7821,0.000093
11,1.4672,1.7832,0.9145,0.7946,0.7646,0.7850,0.000090
12,1.4377,1.7543,0.9240,0.8046,0.7837,0.8047,0.000088
13,1.4101,1.7064,0.9311,0.8279,0.8006,0.8174,0.000085
14,1.3889,1.6911,0.9357,0.8354,0.8093,0.8304,0.000081
15,1.3630,1.6709,0.9434,0.8361,0.8124,0.8307,0.000078
16,1.3403,1.6441,0.9520,0.8455,0.8196,0.8344,0.000074
17,1.3238,1.6315,0.9546,0.8493,0.8245,0.8412,0.000070
18,1.3113,1.6224,0.9572,0.8481,0.8220,0.8351,0.000065
19,1.2955,1.5933,0.9623,0.8600,0.8332,0.8478,0.000061
20,1.2804,1.5793,0.9663,0.8701,0.8407,0.8533,0.000057
21,1.2712,1.5768,0.9690,0.8707,0.8454,0.8585,0.000052
22,1.2584,1.5637,0.9718,0.8701,0.8471,0.8625,0.000048
23,1.2480,1.5568,0.9749,0.8750,0.8489,0.8626,0.000043
24,1.2387,1.5462,0.9767,0.8761,0.8459,0.8577,0.000039
25,1.2291,1.5368,0.9782,0.8776,0.8500,0.8627,0.000035
26,1.2256,1.5290,0.9791,0.8827,0.8565,0.8705,0.000030
27,1.2145,1.5297,0.9811,0.8832,0.8538,0.8635,0.000026
28,1.2094,1.5208,0.9835,0.8870,0.8562,0.8687,0.000022
29,1.2049,1.5123,0.9834,0.8894,0.8607,0.8728,0.000019
30,1.2015,1.5069,0.9840,0.8947,0.8663,0.8790,0.000015
31,1.1939,1.5052,0.9867,0.8930,0.8661,0.8772,0.000012
32,1.1930,1.5036,0.9867,0.8924,0.8646,0.8758,0.000010
33,1.1891,1.5046,0.9869,0.8921,0.8633,0.8739,0.000007
34,1.1869,1.5000,0.9881,0.8956,0.8652,0.8758,0.000005
35,1.1840,1.4993,0.9890,0.8926,0.8620,0.8718,0.000003
36,1.1859,1.4970,0.9881,0.8936,0.8626,0.8729,0.000002
37,1.1850,1.4979,0.9879,0.8939,0.8649,0.8757,0.000001
38,1.1805,1.4971,0.9886,0.8924,0.8622,0.8736,0.000000
39,1.1817,1.4952,0.9891,0.8936,0.8670,0.8777,0.000000
