epoch,train_loss,val_loss,train_acc,val_acc,val_f1,val_precision,lr
0,6.7696,6.5330,0.0138,0.0178,0.0088,0.0130,0.000040
1,5.9807,5.8312,0.0981,0.0736,0.0452,0.0693,0.000060
2,4.9533,4.8678,0.2452,0.1845,0.1312,0.1671,0.000080
3,3.8912,3.9081,0.4133,0.3409,0.2586,0.3086,0.000100
4,3.0371,3.1970,0.5576,0.4552,0.3811,0.4197,0.000100
5,2.4577,2.7278,0.6702,0.5545,0.4839,0.5257,0.000100
6,2.1414,2.4382,0.7373,0.6187,0.5621,0.6033,0.000099
7,1.9145,2.2257,0.7907,0.6719,0.6126,0.6466,0.000098
8,1.7830,2.1156,0.8243,0.7051,0.6507,0.6807,0.000097
9,1.6893,2.0290,0.8488,0.7203,0.6777,0.7059,0.000095
10,1.6193,1.9566,0.8672,0.7483,0.7055,0.7275,0.000093
11,1.5681,1.9176,0.8807,0.7578,0.7150,0.7402,0.000090
12,1.5145,1.8554,0.8961,0.7744,0.7496,0.7688,0.000088
13,1.4700,1.8298,0.9111,0.7817,0.7515,0.7744,0.000085
14,1.4412,1.7892,0.9202,0.7954,0.7557,0.7739,0.000081
15,1.4103,1.7629,0.9284,0.8046,0.7655,0.7834,0.000078
16,1.3917,1.7493,0.9336,0.8104,0.7777,0.7952,0.000074
17,1.3691,1.6987,0.9410,0.8260,0.7983,0.8158,0.000070
18,1.3500,1.6932,0.9464,0.8309,0.8029,0.8191,0.000065
19,1.3325,1.6808,0.9495,0.8322,0.7992,0.8171,0.000061
20,1.3101,1.6634,0.9574,0.8401,0.8094,0.8257,0.000057
21,1.2995,1.6450,0.9584,0.8470,0.8124,0.8294,0.000052
22,1.2848,1.6303,0.9636,0.8519,0.8136,0.8306,0.000048
23,1.2740,1.6194,0.9656,0.8530,0.8178,0.8324,0.000043
24,1.2611,1.6135,0.9691,0.8560,0.8219,0.8367,0.000039
25,1.2542,1.6037,0.9712,0.8590,0.8225,0.8352,0.000035
26,1.2464,1.5840,0.9735,0.8628,0.8313,0.8448,0.000030
27,1.2360,1.5800,0.9752,0.8684,0.8315,0.8447,0.000026
28,1.2265,1.5714,0.9771,0.8695,0.8327,0.8482,0.000022
29,1.2225,1.5696,0.9780,0.8725,0.8371,0.8484,0.000019
30,1.2146,1.5636,0.9803,0.8759,0.8387,0.8497,0.000015
31,1.2110,1.5541,0.9810,0.8770,0.8423,0.8549,0.000012
32,1.2052,1.5510,0.9829,0.8793,0.8442,0.8587,0.000010
33,1.2018,1.5420,0.9832,0.8814,0.8468,0.8592,0.000007
34,1.1974,1.5408,0.9854,0.8791,0.8441,0.8559,0.000005
35,1.1964,1.5402,0.9849,0.8802,0.8402,0.8499,0.000003
36,1.1931,1.5382,0.9860,0.8812,0.8417,0.8526,0.000002
37,1.1912,1.5368,0.9861,0.8817,0.8414,0.8527,0.000001
38,1.1918,1.5385,0.9864,0.8819,0.8448,0.8570,0.000000
39,1.1950,1.5334,0.9849,0.8825,0.8440,0.8561,0.000000
