epoch,train_loss,val_loss,train_acc,val_acc,val_f1,val_precision,lr
0,6.8700,6.8677,0.0014,0.0009,0.0002,0.0005,0.000040
1,6.8581,6.8555,0.0039,0.0036,0.0008,0.0007,0.000060
2,6.8368,6.8351,0.0074,0.0041,0.0019,0.0015,0.000080
3,6.7976,6.7901,0.0096,0.0088,0.0037,0.0043,0.000100
4,6.7144,6.6979,0.0306,0.0190,0.0110,0.0154,0.000100
5,6.5487,6.5068,0.0711,0.0368,0.0214,0.0335,0.000100
6,6.2485,6.2134,0.1185,0.0342,0.0253,0.0372,0.000099
7,5.8247,5.8203,0.1539,0.0584,0.0400,0.0560,0.000098
8,5.3482,5.4275,0.1915,0.0892,0.0637,0.0910,0.000097
9,4.9157,5.0514,0.2399,0.1168,0.0883,0.1253,0.000095
10,4.4927,4.7122,0.2888,0.1541,0.1158,0.1669,0.000093
11,4.1031,4.4213,0.3380,0.2069,0.1586,0.2054,0.000090
12,3.8525,4.2606,0.3866,0.2298,0.1773,0.2210,0.000088
13,3.6588,4.0985,0.4252,0.2713,0.2057,0.2567,0.000085
14,3.5152,4.0056,0.4557,0.2820,0.2186,0.2823,0.000081
15,3.4057,3.8930,0.4783,0.3135,0.2362,0.2893,0.000078
16,3.2951,3.8066,0.5025,0.3221,0.2459,0.2955,0.000074
17,3.2087,3.7335,0.5257,0.3415,0.2618,0.3138,0.000070
18,3.1397,3.6716,0.5388,0.3525,0.2718,0.3218,0.000065
19,3.0808,3.6118,0.5526,0.3687,0.2912,0.3493,0.000061
20,3.0253,3.5594,0.5654,0.3843,0.3030,0.3550,0.000057
21,2.9887,3.5078,0.5748,0.3903,0.3038,0.3490,0.000052
22,2.9384,3.4787,0.5865,0.3991,0.3165,0.3645,0.000048
23,2.8836,3.4532,0.6017,0.4066,0.3220,0.3676,0.000043
24,2.8646,3.4288,0.6017,0.4096,0.3208,0.3657,0.000039
25,2.8341,3.3852,0.6124,0.4256,0.3356,0.3785,0.000035
26,2.8103,3.3789,0.6154,0.4194,0.3306,0.3734,0.000030
27,2.7776,3.3321,0.6253,0.4383,0.3466,0.3892,0.000026
28,2.7698,3.3284,0.6296,0.4383,0.3530,0.3976,0.000022
29,2.7625,3.3021,0.6311,0.4552,0.3607,0.4001,0.000019
30,2.7375,3.3033,0.6381,0.4537,0.3653,0.4063,0.000015
31,2.7254,3.2853,0.6401,0.4537,0.3646,0.4055,0.000012
32,2.7143,3.2857,0.6439,0.4575,0.3670,0.4082,0.000010
33,2.7078,3.2697,0.6442,0.4571,0.3645,0.3982,0.000007
34,2.6928,3.2643,0.6488,0.4646,0.3661,0.4006,0.000005
35,2.6975,3.2637,0.6466,0.4652,0.3709,0.4073,0.000003
36,2.7050,3.2440,0.6462,0.4678,0.3726,0.4070,0.000002
37,2.6906,3.2453,0.6528,0.4657,0.3711,0.4040,0.000001
38,2.6928,3.2523,0.6514,0.4639,0.3684,0.4025,0.000000
39,2.6899,3.2622,0.6494,0.4644,0.3669,0.3989,0.000000
