epoch,train_loss,val_loss,train_acc,val_acc,val_f1,val_precision,lr
0,5.4129,4.0498,0.1891,0.3129,0.2405,0.2790,0.000040
1,2.5908,2.6189,0.6287,0.5808,0.5153,0.5612,0.000060
2,2.0526,2.4033,0.7461,0.6334,0.5887,0.6370,0.000080
3,1.8932,2.2463,0.7877,0.6689,0.6129,0.6573,0.000100
4,1.8011,2.2870,0.8090,0.6679,0.6225,0.6731,0.000100
5,1.6649,2.0892,0.8463,0.7107,0.6677,0.7106,0.000100
6,1.5604,2.0538,0.8735,0.7269,0.7030,0.7405,0.000099
7,1.4957,2.0284,0.8925,0.7308,0.6911,0.7235,0.000098
8,1.4318,1.9972,0.9077,0.7468,0.7104,0.7469,0.000097
9,1.3900,1.8959,0.9189,0.7672,0.7400,0.7703,0.000095
10,1.3627,1.8718,0.9259,0.7759,0.7457,0.7747,0.000093
11,1.3275,1.8169,0.9351,0.7926,0.7575,0.7781,0.000090
12,1.2973,1.8323,0.9428,0.7941,0.7612,0.7873,0.000088
13,1.2771,1.8003,0.9482,0.7926,0.7595,0.7837,0.000085
14,1.2493,1.7954,0.9578,0.8038,0.7633,0.7877,0.000081
15,1.2313,1.8031,0.9608,0.8006,0.7724,0.7978,0.000078
16,1.2127,1.6838,0.9652,0.8260,0.7922,0.8145,0.000074
17,1.1986,1.6965,0.9683,0.8260,0.7933,0.8161,0.000070
18,1.1759,1.6543,0.9733,0.8350,0.7985,0.8185,0.000065
19,1.1614,1.6998,0.9780,0.8232,0.7929,0.8174,0.000061
20,1.1441,1.6460,0.9812,0.8410,0.8142,0.8309,0.000057
21,1.1365,1.6176,0.9826,0.8521,0.8222,0.8406,0.000052
22,1.1225,1.6237,0.9858,0.8461,0.8207,0.8428,0.000048
23,1.1117,1.5869,0.9880,0.8547,0.8287,0.8468,0.000043
24,1.1005,1.5584,0.9900,0.8630,0.8365,0.8555,0.000039
25,1.0924,1.5621,0.9913,0.8633,0.8355,0.8492,0.000035
26,1.0834,1.5637,0.9931,0.8654,0.8289,0.8470,0.000030
27,1.0737,1.5334,0.9952,0.8695,0.8440,0.8635,0.000026
28,1.0704,1.5291,0.9949,0.8770,0.8494,0.8651,0.000022
29,1.0628,1.5098,0.9965,0.8791,0.8567,0.8736,0.000019
30,1.0572,1.5166,0.9973,0.8814,0.8519,0.8656,0.000015
31,1.0531,1.5086,0.9976,0.8866,0.8514,0.8653,0.000012
32,1.0490,1.5004,0.9984,0.8902,0.8592,0.8743,0.000010
33,1.0475,1.5017,0.9984,0.8904,0.8567,0.8688,0.000007
34,1.0443,1.4882,0.9992,0.8909,0.8570,0.8696,0.000005
35,1.0427,1.4869,0.9991,0.8915,0.8594,0.8721,0.000003
36,1.0422,1.4832,0.9990,0.8954,0.8621,0.8751,0.000002
37,1.0405,1.4817,0.9994,0.8960,0.8614,0.8744,0.000001
38,1.0402,1.4817,0.9992,0.8958,0.8616,0.8753,0.000000
39,1.0402,1.4813,0.9992,0.8958,0.8605,0.8737,0.000000
